Ano_Censo;Número_de_Instituições;Abrangência;Região;UF
2017;240;CENTRO-OESTE;CENTRO-OESTE;
2017;64;DISTRITO FEDERAL;CENTRO-OESTE;DISTRITO FEDERAL
2017;89;GOIÁS;CENTRO-OESTE;GOIÁS
2017;59;MATO GROSSO;CENTRO-OESTE;MATO GROSSO
2017;28;MATO GROSSO DO SUL;CENTRO-OESTE;MATO GROSSO DO SUL
2017;517;NORDESTE;NORDESTE;
2017;29;ALAGOAS;NORDESTE;ALAGOAS
2017;133;BAHIA;NORDESTE;BAHIA
2017;72;CEARÁ;NORDESTE;CEARÁ
2017;45;MARANHÃO;NORDESTE;MARANHÃO
2017;42;PARAÍBA;NORDESTE;PARAÍBA
2017;106;PERNAMBUCO;NORDESTE;PERNAMBUCO
2017;44;PIAUÍ;NORDESTE;PIAUÍ
2017;28;RIO GRANDE DO NORTE;NORDESTE;RIO GRANDE DO NORTE
2017;18;SERGIPE;NORDESTE;SERGIPE
2017;165;NORTE;NORTE;
2017;11;ACRE;NORTE;ACRE
2017;15;AMAPÁ;NORTE;AMAPÁ
2017;20;AMAZONAS;NORTE;AMAZONAS
2017;54;PARÁ;NORTE;PARÁ
2017;34;RONDÔNIA;NORTE;RONDÔNIA
2017;7;RORAIMA;NORTE;RORAIMA
2017;24;TOCANTINS;NORTE;TOCANTINS
2017;1121;SUDESTE;SUDESTE;
2017;78;ESPÍRITO SANTO;SUDESTE;ESPÍRITO SANTO
2017;296;MINAS GERAIS;SUDESTE;MINAS GERAIS
2017;136;RIO DE JANEIRO;SUDESTE;RIO DE JANEIRO
2017;611;SÃO PAULO;SUDESTE;SÃO PAULO
2017;405;SUL;SUL;
2017;189;PARANÁ;SUL;PARANÁ
2017;123;RIO GRANDE DO SUL;SUL;RIO GRANDE DO SUL
2017;93;SANTA CATARINA;SUL;SANTA CATARINA
2016;240;CENTRO-OESTE;CENTRO-OESTE;
2016;59;DISTRITO FEDERAL;CENTRO-OESTE;DISTRITO FEDERAL
2016;88;GOIÁS;CENTRO-OESTE;GOIÁS
2016;59;MATO GROSSO;CENTRO-OESTE;MATO GROSSO
2016;34;MATO GROSSO DO SUL;CENTRO-OESTE;MATO GROSSO DO SUL
2016;480;NORDESTE;NORDESTE;
2016;28;ALAGOAS;NORDESTE;ALAGOAS
2016;121;BAHIA;NORDESTE;BAHIA
2016;65;CEARÁ;NORDESTE;CEARÁ
2016;38;MARANHÃO;NORDESTE;MARANHÃO
2016;40;PARAÍBA;NORDESTE;PARAÍBA
2016;101;PERNAMBUCO;NORDESTE;PERNAMBUCO
